"PINDATA",0,0.0,"A"
"AN",1000,0.01,"Aus.Dol"
"ZL",600,0.01,"BeanOil"
"BN",625,0.01,"B.Pound"
"ZU",1000,0.01,"Crude"
"ZC",50,0.25,"Corn"
"CC",10,1,"Cocoa"
"CN",1000,0.01,"Can.Dol"
"CT",500,0.01,"Cotton"
"FN",1250,0.005,"EuroCur"
"DX",1000,0.005,"DolIndx"
"ED",2500,0.0025,"EuroDol"
"EM",100,0.1,"MidCap"
"MD",100,0.1,"MidCap"
"ES",50,0.25,"Mini-ES"
"ES2",50,0.25,"Mini-ES"
"ZF",500,0.025,"Feeder"
"FB",1000,0.0071825,"5YrNote"
"ZG",100,0.1,"Gold"
"ZK",250,0.05,"Copper"
"ZH",420,0.01,"HeatOil"
"JN",1250,0.01,"Jap.Yen"
"KC",375,0.05,"Coffee"
"CC",10,1,"Cocoa"
"KW",50,0.25,"KCWheat"
"LB",110,0.1,"Lumber"
"ZT",400,0.025,"LCattle"
"ZZ",400,0.025,"LHogs"
"ZD",25,1,"D-Jones"
"MP",500000,0.00001,"MexPeso"
"EN",20,0.25,"Mini NQ"
"ZN",10000,0.001,"Nat.Gas"
"ZO",50,0.25,"Oats"
"JO",150,0.05,"O.Juice"
"ZA",100,0.05,"Pallad"
"ZP",50,0.10,"Plat."
"QG",2500,0.005,
"QM",500,0.025
"ZB",420,0.01,"RBOB-Un"
"ZR",20,0.5,"R.Rice"
"ZS",50,0.25,"S.Beans"
"ZM",100.0,0.1,"S.Meal"
"S_",50,0.25,"S.Beans"
"SB",1120,0.01,"Sugar"
"SN",1250,0.01,"S.Franc"
"ZI",50,0.5,"Silver"
"ZM",100,0.1,"Soymeal"
"SC",250,0.1,"SP Comp."
"ES",50,0.25,"Mini ES"
"ER",100,0.10,"MiniRus"
"EC",2500,0.0025,"EuroDol"
"US",1000,0.0313,"T. Bond"
"TU",2000,0.0078125,"2YrNote"
"TY",1000,0.0156,"10YNote"
"YM",10,1,"MiniDow"
"ZW",50,0.25,"Wheat"
"W_",50,0.25,"Wheat"
"CSIDATA",0,0.00,"B"
"AD",100000,0.0001,"Aus.Dol"
"BO",600,0.01
"BP",62500,0.0001
"CL",1000,0.01
"C2",50,0.25
"C_",50,0.25
"C1",50,0.25
"CC",10,1,"Cocoa"
"CD",100000,0.0001
"CL",1000,0.01,"Crude"
"CT",500,0.01,"Cotton"
"CU",125000,0.00005,"Euro.C"
"EC",125000,0.00005,"Euro.C"
"DX",1000,0.005,"$ Index"
"ED",2500,0.005
"EM",100,0.1
"ES",50,0.25,"E-Mini"
"ES2",50,0.25
"FC",500,0.025
"FV",1000,0.0071825
"GC",100,0.1,"Gold"
"HG",250,0.05
"HO",42000,0.0001
"JY",125000,0.00005
"KC",375,0.05,"Coffee"
"KW",50,0.25
"LB",110,0.1,"Lumber"
"LC",400,0.025
"LH",400,0.025,"L.Hogs"
"MP",500000,0.00001
"NQ",20,0.25
"NG",10000,0.001,"Nag.Gas"
"O2",50,0.25
"OJ",150,0.05
"PA",100,0.05
"PL",50,0.10
"QG",2500,0.005
"QM",500,0.025
"RB",42000,0.0001
"RR",2000,0.005
"S2",50,0.25
"S_",50,0.25,"S.Beans"
"SB",1120,0.01,"Sugar"
"SF",125000,0.0001
"SI",50,0.5,"Silver"
"SM",100,0.1
"TF",100,0.10
"US",1000,0.0313,"T. Bond"
"TU",2000,0.0071825,"2YNote"
"TY",1000,0.0156,"10YNote"
"W2",50,0.25,"Wheat"
"W_",50,0.25,"Wheat"
